Row Name,State,Winner
1,AL,Dog
2,AK,Dog
3,AZ,Dog
4,AR,Dog
5,CA,Cat
6,CO,Dog
7,CT,Cat
8,DE,Cat
9,FL,Dog
10,GA,Dog
11,HI,Dog
12,ID,Dog
13,IL,Dog
14,IN,Cat
15,IA,Cat
16,KS,Dog
17,KY,Dog
18,LA,Dog
19,ME,Cat
20,MD,Cat
21,MA,Cat
22,MI,Cat
23,MN,Cat
24,MS,Dog
25,MO,Dog
26,MT,Dog
27,NE,Cat
28,NV,Dog
29,NH,Cat
30,NJ,Dog
31,NM,Dog
32,NY,Cat
33,NC,Dog
34,ND,Cat
35,OH,Cat
36,OK,Dog
37,OR,Cat
38,PA,Cat
39,RI,Cat
40,SC,Dog
41,SD,Cat
42,TN,Dog
43,TX,Dog
44,UT,Cat
45,VT,Cat
46,VA,Dog
47,WA,Cat
48,WV,Dog
49,WI,Cat
50,WY,Cat
