,location,date,total_cases,new_cases,total_deaths,new_deaths
125792,United States,2020-01-22,1.0,0.0,0.0,0.0
125793,United States,2020-01-23,1.0,0.0,0.0,0.0
125794,United States,2020-01-24,2.0,1.0,0.0,0.0
125795,United States,2020-01-25,2.0,0.0,0.0,0.0
125796,United States,2020-01-26,5.0,3.0,0.0,0.0
125797,United States,2020-01-27,5.0,0.0,0.0,0.0
125798,United States,2020-01-28,5.0,0.0,0.0,0.0
125799,United States,2020-01-29,6.0,1.0,0.0,0.0
125800,United States,2020-01-30,6.0,0.0,0.0,0.0
125801,United States,2020-01-31,8.0,2.0,0.0,0.0
125802,United States,2020-02-01,8.0,0.0,0.0,0.0
125803,United States,2020-02-02,8.0,0.0,0.0,0.0
125804,United States,2020-02-03,11.0,3.0,0.0,0.0
125805,United States,2020-02-04,11.0,0.0,0.0,0.0
125806,United States,2020-02-05,11.0,0.0,0.0,0.0
125807,United States,2020-02-06,12.0,1.0,0.0,0.0
125808,United States,2020-02-07,12.0,0.0,0.0,0.0
125809,United States,2020-02-08,12.0,0.0,0.0,0.0
125810,United States,2020-02-09,12.0,0.0,0.0,0.0
125811,United States,2020-02-10,12.0,0.0,0.0,0.0
125812,United States,2020-02-11,13.0,1.0,0.0,0.0
125813,United States,2020-02-12,13.0,0.0,0.0,0.0
125814,United States,2020-02-13,14.0,1.0,0.0,0.0
125815,United States,2020-02-14,14.0,0.0,0.0,0.0
125816,United States,2020-02-15,14.0,0.0,0.0,0.0
125817,United States,2020-02-16,14.0,0.0,0.0,0.0
125818,United States,2020-02-17,14.0,0.0,0.0,0.0
125819,United States,2020-02-18,14.0,0.0,0.0,0.0
125820,United States,2020-02-19,14.0,0.0,0.0,0.0
125821,United States,2020-02-20,14.0,0.0,0.0,0.0
125822,United States,2020-02-21,16.0,2.0,0.0,0.0
125823,United States,2020-02-22,16.0,0.0,0.0,0.0
125824,United States,2020-02-23,16.0,0.0,0.0,0.0
125825,United States,2020-02-24,16.0,0.0,0.0,0.0
125826,United States,2020-02-25,16.0,0.0,0.0,0.0
125827,United States,2020-02-26,16.0,0.0,0.0,0.0
125828,United States,2020-02-27,17.0,1.0,0.0,0.0
125829,United States,2020-02-28,17.0,0.0,0.0,0.0
125830,United States,2020-02-29,25.0,8.0,1.0,1.0
125831,United States,2020-03-01,32.0,7.0,1.0,0.0
125832,United States,2020-03-02,55.0,23.0,6.0,5.0
125833,United States,2020-03-03,74.0,19.0,7.0,1.0
125834,United States,2020-03-04,107.0,33.0,11.0,4.0
125835,United States,2020-03-05,184.0,77.0,12.0,1.0
125836,United States,2020-03-06,237.0,53.0,14.0,2.0
125837,United States,2020-03-07,403.0,166.0,17.0,3.0
125838,United States,2020-03-08,519.0,116.0,21.0,4.0
125839,United States,2020-03-09,594.0,75.0,22.0,1.0
125840,United States,2020-03-10,782.0,188.0,28.0,6.0
125841,United States,2020-03-11,1147.0,365.0,33.0,5.0
125842,United States,2020-03-12,1586.0,439.0,43.0,10.0
125843,United States,2020-03-13,2219.0,633.0,51.0,8.0
125844,United States,2020-03-14,2978.0,759.0,58.0,7.0
125845,United States,2020-03-15,3212.0,234.0,70.0,12.0
125846,United States,2020-03-16,4679.0,1467.0,97.0,27.0
125847,United States,2020-03-17,6512.0,1833.0,134.0,37.0
125848,United States,2020-03-18,9169.0,2657.0,194.0,60.0
125849,United States,2020-03-19,13663.0,4494.0,266.0,72.0
125850,United States,2020-03-20,20030.0,6367.0,372.0,106.0
125851,United States,2020-03-21,26025.0,5995.0,475.0,103.0
125852,United States,2020-03-22,34944.0,8919.0,603.0,128.0
125853,United States,2020-03-23,46096.0,11152.0,790.0,187.0
125854,United States,2020-03-24,56714.0,10618.0,1033.0,243.0
125855,United States,2020-03-25,68841.0,12127.0,1366.0,333.0
125856,United States,2020-03-26,86662.0,17821.0,1783.0,417.0
