,datetime,tempmax,tempmin,feelslikemax,humidity,conditions
0,2021-11-12,58.8,40.0,58.8,37.9,Clear
1,2021-11-13,71.0,34.1,71.0,41.1,Clear
2,2021-11-14,67.0,45.0,67.0,39.8,Clear
3,2021-11-15,71.0,42.0,71.0,42.8,Clear
4,2021-11-16,74.9,45.0,74.9,33.2,Clear
5,2021-11-17,67.9,45.9,67.9,28.1,Partially cloudy
6,2021-11-18,54.9,35.0,54.9,45.5,Partially cloudy
7,2021-11-19,78.0,45.5,78.0,55.1,Partially cloudy
8,2021-11-20,82.8,54.1,80.2,41.1,Partially cloudy
9,2021-11-21,54.1,39.5,54.1,27.1,Overcast
10,2021-11-22,61.6,32.8,61.6,29.4,Clear
11,2021-11-23,65.4,32.4,65.4,35.9,Partially cloudy
12,2021-11-24,52.8,41.3,52.8,42.5,Overcast
13,2021-11-25,62.3,35.1,62.3,64.1,Partially cloudy
14,2021-11-26,50.8,29.4,50.8,45.2,Clear
