,location,date,total_cases,new_cases,total_deaths,new_deaths
121130,United States,1/22/20,1,0,0,0
121131,United States,1/23/20,1,0,0,0
121132,United States,1/24/20,2,1,0,0
121133,United States,1/25/20,2,0,0,0
121134,United States,1/26/20,5,3,0,0
121135,United States,1/27/20,5,0,0,0
121136,United States,1/28/20,5,0,0,0
121137,United States,1/29/20,6,1,0,0
121138,United States,1/30/20,6,0,0,0
121139,United States,1/31/20,8,2,0,0
121140,United States,2/1/20,8,0,0,0
121141,United States,2/2/20,8,0,0,0
121142,United States,2/3/20,11,3,0,0
121143,United States,2/4/20,11,0,0,0
121144,United States,2/5/20,11,0,0,0
121145,United States,2/6/20,12,1,0,0
121146,United States,2/7/20,12,0,0,0
121147,United States,2/8/20,12,0,0,0
121148,United States,2/9/20,12,0,0,0
121149,United States,2/10/20,12,0,0,0
121150,United States,2/11/20,13,1,0,0
121151,United States,2/12/20,13,0,0,0
121152,United States,2/13/20,14,1,0,0
121153,United States,2/14/20,14,0,0,0
121154,United States,2/15/20,14,0,0,0
121155,United States,2/16/20,14,0,0,0
121156,United States,2/17/20,14,0,0,0
121157,United States,2/18/20,14,0,0,0
121158,United States,2/19/20,14,0,0,0
121159,United States,2/20/20,14,0,0,0
121160,United States,2/21/20,16,2,0,0
121161,United States,2/22/20,16,0,0,0
121162,United States,2/23/20,16,0,0,0
121163,United States,2/24/20,16,0,0,0
121164,United States,2/25/20,16,0,0,0
121165,United States,2/26/20,16,0,0,0
121166,United States,2/27/20,17,1,0,0
121167,United States,2/28/20,17,0,0,0
121168,United States,2/29/20,25,8,1,1
121169,United States,3/1/20,32,7,1,0
121170,United States,3/2/20,55,23,6,5
121171,United States,3/3/20,74,19,7,1
121172,United States,3/4/20,107,33,11,4
121173,United States,3/5/20,184,77,12,1
121174,United States,3/6/20,237,53,14,2
121175,United States,3/7/20,403,166,17,3
121176,United States,3/8/20,519,116,21,4
121177,United States,3/9/20,594,75,22,1
121178,United States,3/10/20,782,188,28,6
121179,United States,3/11/20,1147,365,33,5
121180,United States,3/12/20,1586,439,43,10
121181,United States,3/13/20,2219,633,51,8
121182,United States,3/14/20,2978,759,58,7
121183,United States,3/15/20,3212,234,70,12
121184,United States,3/16/20,4679,1467,97,27
121185,United States,3/17/20,6512,1833,134,37
121186,United States,3/18/20,9169,2657,194,60
121187,United States,3/19/20,13663,4494,266,72
121188,United States,3/20/20,20030,6367,372,106
121189,United States,3/21/20,26025,5995,475,103
121190,United States,3/22/20,34944,8919,603,128
121191,United States,3/23/20,46096,11152,790,187
121192,United States,3/24/20,56714,10618,1033,243
121193,United States,3/25/20,68841,12127,1366,333
121194,United States,3/26/20,86662,17821,1783,417
121195,United States,3/27/20,105253,18591,2305,522
121196,United States,3/28/20,127417,22164,3018,713
121197,United States,3/29/20,143544,16127,3573,555
121198,United States,3/30/20,165698,22154,4280,707
121199,United States,3/31/20,192079,26381,5359,1079
121200,United States,4/1/20,224397,32318,6635,1276
121201,United States,4/2/20,256743,32346,8146,1511
121202,United States,4/3/20,289139,32396,9566,1420
121203,United States,4/4/20,321476,32337,11172,1606
121204,United States,4/5/20,350830,29354,12790,1618
121205,United States,4/6/20,382724,31894,14523,1733
121206,United States,4/7/20,413272,30548,17099,2576
121207,United States,4/8/20,444417,31145,19250,2151
121208,United States,4/9/20,480511,36094,21463,2213
121209,United States,4/10/20,514755,34244,23649,2186
121210,United States,4/11/20,543946,29191,25790,2141
121211,United States,4/12/20,570855,26909,27679,1889
121212,United States,4/13/20,597846,26991,29657,1978
121213,United States,4/14/20,626300,28454,32132,2475
121214,United States,4/15/20,652261,25961,34719,2587
121215,United States,4/16/20,682517,30256,36908,2189
121216,United States,4/17/20,715517,33000,39007,2099
121217,United States,4/18/20,743434,27917,40951,1944
121218,United States,4/19/20,769306,25872,42934,1983
121219,United States,4/20/20,799096,29790,45179,2245
121220,United States,4/21/20,825366,26270,47662,2483
121221,United States,4/22/20,854328,28962,50119,2457
121222,United States,4/23/20,887581,33253,52543,2424
121223,United States,4/24/20,919920,32339,54712,2169
121224,United States,4/25/20,950298,30378,56444,1732
121225,United States,4/26/20,976971,26673,57850,1406
121226,United States,4/27/20,1000764,23793,59330,1480
121227,United States,4/28/20,1025527,24763,61571,2241
121228,United States,4/29/20,1051785,26258,63962,2391
121229,United States,4/30/20,1081074,29289,66154,2192
121230,United States,5/1/20,1115991,34917,68063,1909
121231,United States,5/2/20,1143379,27388,69804,1741
121232,United States,5/3/20,1167577,24198,71007,1203
121233,United States,5/4/20,1191908,24331,72365,1358
121234,United States,5/5/20,1216403,24495,74586,2221
121235,United States,5/6/20,1240643,24240,76905,2319
121236,United States,5/7/20,1268372,27729,78822,1917
121237,United States,5/8/20,1295629,27257,80594,1772
121238,United States,5/9/20,1320210,24581,82058,1464
121239,United States,5/10/20,1339260,19050,83059,1001
121240,United States,5/11/20,1358249,18989,84093,1034
121241,United States,5/12/20,1381136,22887,85684,1591
121242,United States,5/13/20,1401769,20633,87416,1732
121243,United States,5/14/20,1428388,26619,89197,1781
121244,United States,5/15/20,1453217,24829,90862,1665
121245,United States,5/16/20,1477370,24153,92060,1198
121246,United States,5/17/20,1496009,18639,92891,831
121247,United States,5/18/20,1518333,22324,94110,1219
121248,United States,5/19/20,1539142,20809,95555,1445
121249,United States,5/20/20,1561937,22795,97052,1497
121250,United States,5/21/20,1587899,25962,98246,1194
121251,United States,5/22/20,1611502,23603,99450,1204
121252,United States,5/23/20,1632503,21001,100524,1074
121253,United States,5/24/20,1652951,20448,101165,641
121254,United States,5/25/20,1671394,18443,101762,597
121255,United States,5/26/20,1690367,18973,102418,656
121256,United States,5/27/20,1709857,19490,103896,1478
121257,United States,5/28/20,1731479,21622,104985,1089
121258,United States,5/29/20,1756267,24788,106103,1118
121259,United States,5/30/20,1780340,24073,107053,950
121260,United States,5/31/20,1799674,19334,107674,621
121261,United States,6/1/20,1816752,17078,108445,771
121262,United States,6/2/20,1838068,21316,109428,983
121263,United States,6/3/20,1857852,19784,110437,1009
121264,United States,6/4/20,1879605,21753,111443,1006
121265,United States,6/5/20,1904615,25010,112321,878
121266,United States,6/6/20,1925849,21234,112958,637
121267,United States,6/7/20,1944248,18399,113415,457
121268,United States,6/8/20,1960815,16567,113926,511
121269,United States,6/9/20,1978933,18118,114840,914
121270,United States,6/10/20,2000019,21086,115716,876
121271,United States,6/11/20,2022421,22402,116532,816
