,location,date,total_cases,new_cases,total_deaths,new_deaths
121130,United States,2020-01-22,1.0,0.0,0.0,0.0
121131,United States,2020-01-23,1.0,0.0,0.0,0.0
121132,United States,2020-01-24,2.0,1.0,0.0,0.0
121133,United States,2020-01-25,2.0,0.0,0.0,0.0
121134,United States,2020-01-26,5.0,3.0,0.0,0.0
121135,United States,2020-01-27,5.0,0.0,0.0,0.0
121136,United States,2020-01-28,5.0,0.0,0.0,0.0
121137,United States,2020-01-29,6.0,1.0,0.0,0.0
121138,United States,2020-01-30,6.0,0.0,0.0,0.0
121139,United States,2020-01-31,8.0,2.0,0.0,0.0
121140,United States,2020-02-01,8.0,0.0,0.0,0.0
121141,United States,2020-02-02,8.0,0.0,0.0,0.0
121142,United States,2020-02-03,11.0,3.0,0.0,0.0
121143,United States,2020-02-04,11.0,0.0,0.0,0.0
121144,United States,2020-02-05,11.0,0.0,0.0,0.0
121145,United States,2020-02-06,12.0,1.0,0.0,0.0
121146,United States,2020-02-07,12.0,0.0,0.0,0.0
121147,United States,2020-02-08,12.0,0.0,0.0,0.0
121148,United States,2020-02-09,12.0,0.0,0.0,0.0
121149,United States,2020-02-10,12.0,0.0,0.0,0.0
121150,United States,2020-02-11,13.0,1.0,0.0,0.0
121151,United States,2020-02-12,13.0,0.0,0.0,0.0
121152,United States,2020-02-13,14.0,1.0,0.0,0.0
121153,United States,2020-02-14,14.0,0.0,0.0,0.0
121154,United States,2020-02-15,14.0,0.0,0.0,0.0
121155,United States,2020-02-16,14.0,0.0,0.0,0.0
121156,United States,2020-02-17,14.0,0.0,0.0,0.0
121157,United States,2020-02-18,14.0,0.0,0.0,0.0
121158,United States,2020-02-19,14.0,0.0,0.0,0.0
121159,United States,2020-02-20,14.0,0.0,0.0,0.0
121160,United States,2020-02-21,16.0,2.0,0.0,0.0
121161,United States,2020-02-22,16.0,0.0,0.0,0.0
121162,United States,2020-02-23,16.0,0.0,0.0,0.0
121163,United States,2020-02-24,16.0,0.0,0.0,0.0
121164,United States,2020-02-25,16.0,0.0,0.0,0.0
121165,United States,2020-02-26,16.0,0.0,0.0,0.0
121166,United States,2020-02-27,17.0,1.0,0.0,0.0
121167,United States,2020-02-28,17.0,0.0,0.0,0.0
121168,United States,2020-02-29,25.0,8.0,1.0,1.0
121169,United States,2020-03-01,32.0,7.0,1.0,0.0
121170,United States,2020-03-02,55.0,23.0,6.0,5.0
121171,United States,2020-03-03,74.0,19.0,7.0,1.0
121172,United States,2020-03-04,107.0,33.0,11.0,4.0
121173,United States,2020-03-05,184.0,77.0,12.0,1.0
121174,United States,2020-03-06,237.0,53.0,14.0,2.0
121175,United States,2020-03-07,403.0,166.0,17.0,3.0
121176,United States,2020-03-08,519.0,116.0,21.0,4.0
121177,United States,2020-03-09,594.0,75.0,22.0,1.0
121178,United States,2020-03-10,782.0,188.0,28.0,6.0
121179,United States,2020-03-11,1147.0,365.0,33.0,5.0
121180,United States,2020-03-12,1586.0,439.0,43.0,10.0
121181,United States,2020-03-13,2219.0,633.0,51.0,8.0
121182,United States,2020-03-14,2978.0,759.0,58.0,7.0
121183,United States,2020-03-15,3212.0,234.0,70.0,12.0
121184,United States,2020-03-16,4679.0,1467.0,97.0,27.0
121185,United States,2020-03-17,6512.0,1833.0,134.0,37.0
121186,United States,2020-03-18,9169.0,2657.0,194.0,60.0
121187,United States,2020-03-19,13663.0,4494.0,266.0,72.0
121188,United States,2020-03-20,20030.0,6367.0,372.0,106.0
121189,United States,2020-03-21,26025.0,5995.0,475.0,103.0
121190,United States,2020-03-22,34944.0,8919.0,603.0,128.0
121191,United States,2020-03-23,46096.0,11152.0,790.0,187.0
121192,United States,2020-03-24,56714.0,10618.0,1033.0,243.0
121193,United States,2020-03-25,68841.0,12127.0,1366.0,333.0
121194,United States,2020-03-26,86662.0,17821.0,1783.0,417.0
121195,United States,2020-03-27,105253.0,18591.0,2305.0,522.0
121196,United States,2020-03-28,127417.0,22164.0,3018.0,713.0
121197,United States,2020-03-29,143544.0,16127.0,3573.0,555.0
121198,United States,2020-03-30,165698.0,22154.0,4280.0,707.0
121199,United States,2020-03-31,192079.0,26381.0,5359.0,1079.0
121200,United States,2020-04-01,224397.0,32318.0,6635.0,1276.0
121201,United States,2020-04-02,256743.0,32346.0,8146.0,1511.0
121202,United States,2020-04-03,289139.0,32396.0,9566.0,1420.0
121203,United States,2020-04-04,321476.0,32337.0,11172.0,1606.0
121204,United States,2020-04-05,350830.0,29354.0,12790.0,1618.0
121205,United States,2020-04-06,382724.0,31894.0,14523.0,1733.0
121206,United States,2020-04-07,413272.0,30548.0,17099.0,2576.0
121207,United States,2020-04-08,444417.0,31145.0,19250.0,2151.0
121208,United States,2020-04-09,480511.0,36094.0,21463.0,2213.0
