,datetime,tempmax,tempmin,feelslikemax,humidity,conditions
0,2021-11-09,73.0,47.0,73.0,55.2,Partially cloudy
1,2021-11-10,76.0,51.0,76.0,55.5,Partially cloudy
2,2021-11-11,67.0,40.9,67.0,46.7,Clear
3,2021-11-12,61.1,40.0,61.1,42.8,Clear
4,2021-11-13,65.9,38.0,65.9,43.2,Clear
5,2021-11-14,63.1,44.0,63.1,40.8,Clear
6,2021-11-15,62.0,38.9,62.0,47.1,Clear
7,2021-11-16,82.5,43.1,80.0,41.1,Partially cloudy
8,2021-11-17,80.7,57.1,79.5,17.1,Partially cloudy
9,2021-11-18,73.8,50.3,73.8,21.8,Partially cloudy
10,2021-11-19,64.5,42.7,64.5,60.6,Partially cloudy
11,2021-11-20,74.9,44.9,74.9,49.2,Overcast
12,2021-11-21,46.7,40.0,40.4,77.8,Overcast
13,2021-11-22,45.4,38.2,39.9,83.0,Overcast
14,2021-11-23,55.7,45.0,55.7,87.9,Partially cloudy
